,Additional_outlet_count,Cost_for_two,Delivery_Time,Home_Delivery,Delivery_cost,Rating,votes,Cuisine_count,Feature_count,Rest_type_count
509,4,550,45,0,76,3.8,334,3,1,1
510,4,700,45,0,76,4.0,347,2,1,1
511,4,1500,45,0,76,3.9,990,4,1,1
512,4,600,45,0,76,3.9,753,3,1,1
513,4,1400,45,0,76,4.3,397,2,1,1
514,4,600,45,0,76,3.8,833,5,1,1
515,4,2000,45,0,76,3.8,244,6,2,2
516,4,1000,45,1,99,4.2,3498,3,1,1
517,4,400,45,0,76,4.3,2077,3,1,2
518,4,2000,45,0,76,4.3,303,2,1,1
519,4,900,45,1,99,4.3,623,4,1,1
520,8,500,45,1,0,3.6,855,6,1,1
521,4,700,45,1,99,0.0,238,1,2,1
522,1,800,45,1,99,3.9,701,5,1,1
523,4,600,50,1,99,4.0,607,8,1,1
524,4,1400,45,0,76,4.2,69,6,2,2
525,4,1500,45,1,99,3.9,1213,3,2,1
526,4,850,45,1,99,4.0,1269,4,1,1
527,4,150,45,0,76,4.5,2975,2,3,1
528,4,800,45,1,99,4.0,1039,2,1,1
529,1,1400,45,1,99,4.2,793,2,1,2
530,4,800,55,1,99,4.1,1489,4,3,1
531,11,700,45,0,76,3.5,430,4,1,1
532,4,2500,45,0,76,4.2,1188,2,2,1
533,4,1500,45,0,76,4.0,1146,5,1,1
534,4,5500,45,0,76,4.3,655,2,2,1
535,4,3000,45,0,76,4.1,565,1,3,1
536,4,1200,45,1,99,4.1,514,5,1,2
537,4,1500,52,1,0,4.2,931,5,1,1
538,4,500,45,1,99,4.2,133,1,1,1
539,1,1200,45,1,99,4.0,761,7,1,1
540,4,1200,45,0,76,4.3,757,3,3,1
541,1,450,45,0,76,3.9,310,1,2,1
